id,position_id,person_id,body_id,jurisdiction_id,contact_type,value,label,is_public,is_verified,source_url,confidence,last_verified_at
1,3,,1,,grievance_portal,https://www.pmindia.gov.in/en/interact-with-honble-pm/,Write to the PM,true,true,https://www.pmindia.gov.in/en/,0.85,2026-06-26
2,,,1,,website,https://www.pmindia.gov.in,Official PMO website,true,true,https://www.pmindia.gov.in/en/,0.90,2026-06-26
3,,,2,,website,https://www.mha.gov.in,Official MHA website,true,true,https://www.mha.gov.in,0.85,2026-06-26
4,,,,1,grievance_portal,https://pgportal.gov.in,CPGRAMS - Centralized Public Grievance Redress (all ministries),true,true,https://pgportal.gov.in,0.85,2026-06-26
5,78,,,,office_email,cs@ap.gov.in,"Chief Secretary office, Andhra Pradesh",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
6,78,,,,office_phone,+91-863-2441024,"Chief Secretary office, Andhra Pradesh",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
7,81,,,,office_email,cs-arunachal@nic.in,"Chief Secretary office, Arunachal Pradesh",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
8,81,,,,office_phone,+91-360-2212444,"Chief Secretary office, Arunachal Pradesh",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
9,84,,,,office_email,cs-assam@nic.in,"Chief Secretary office, Assam",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
10,84,,,,office_phone,+91-361-2261120,"Chief Secretary office, Assam",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
11,87,,,,office_email,cs-bihar@nic.in,"Chief Secretary office, Bihar",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
12,87,,,,office_phone,+91-612-2215804,"Chief Secretary office, Bihar",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
13,90,,,,office_email,csoffice.cg@gov.in,"Chief Secretary office, Chhattisgarh",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
14,90,,,,office_phone,+91-771-2221207,"Chief Secretary office, Chhattisgarh",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
15,93,,,,office_email,cs-goa@nic.in,"Chief Secretary office, Goa",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
16,93,,,,office_phone,+91-832-2419401,"Chief Secretary office, Goa",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
17,96,,,,office_email,chiefsecretary@gujarat.gov.in,"Chief Secretary office, Gujarat",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
18,96,,,,office_phone,+91-79-23250301,"Chief Secretary office, Gujarat",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
19,99,,,,office_email,cs-haryana@nic.in,"Chief Secretary office, Haryana",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
20,99,,,,office_phone,+91-172-2740118,"Chief Secretary office, Haryana",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
21,102,,,,office_email,cs-hp@nic.in,"Chief Secretary office, Himachal Pradesh",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
22,102,,,,office_phone,+91-177-2621022,"Chief Secretary office, Himachal Pradesh",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
23,105,,,,office_email,cs-jharkhand@nic.in,"Chief Secretary office, Jharkhand",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
24,105,,,,office_phone,+91-651-2400240,"Chief Secretary office, Jharkhand",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
25,108,,,,office_email,cs@karnataka.gov.in,"Chief Secretary office, Karnataka",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
26,108,,,,office_phone,+91-80-22252442,"Chief Secretary office, Karnataka",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
27,111,,,,office_email,chiefsecy@kerala.gov.in,"Chief Secretary office, Kerala",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
28,111,,,,office_phone,+91-471-2333147,"Chief Secretary office, Kerala",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
29,114,,,,office_email,cs@mp.nic.in,"Chief Secretary office, Madhya Pradesh",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
30,114,,,,office_phone,+91-755-2441848,"Chief Secretary office, Madhya Pradesh",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
31,117,,,,office_email,cs@maharashtra.gov.in,"Chief Secretary office, Maharashtra",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
32,117,,,,office_phone,+91-22-22025042,"Chief Secretary office, Maharashtra",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
33,120,,,,office_email,cs-manipur@nic.in,"Chief Secretary office, Manipur",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
34,120,,,,office_phone,+91-385-2451144,"Chief Secretary office, Manipur",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
35,123,,,,office_email,cso-meg@nic.in,"Chief Secretary office, Meghalaya",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
36,123,,,,office_phone,+91-364-2224801,"Chief Secretary office, Meghalaya",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
37,126,,,,office_email,cs-mizoram@nic.in,"Chief Secretary office, Mizoram",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
38,126,,,,office_phone,+91-389-2322411,"Chief Secretary office, Mizoram",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
39,129,,,,office_email,csngl@nic.in,"Chief Secretary office, Nagaland",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
40,129,,,,office_phone,+91-370-2270082,"Chief Secretary office, Nagaland",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
41,132,,,,office_email,csori@nic.in,"Chief Secretary office, Odisha",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
42,132,,,,office_phone,+91-674-2534300,"Chief Secretary office, Odisha",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
43,135,,,,office_email,cs@punjab.gov.in,"Chief Secretary office, Punjab",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
44,135,,,,office_phone,+91-172-2740860,"Chief Secretary office, Punjab",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
45,138,,,,office_email,csraj@rajasthan.gov.in,"Chief Secretary office, Rajasthan",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
46,138,,,,office_phone,+91-141-2227254,"Chief Secretary office, Rajasthan",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
47,141,,,,office_email,cs-skm@hub.nic.in,"Chief Secretary office, Sikkim",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
48,141,,,,office_phone,+91-3592-202315,"Chief Secretary office, Sikkim",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
49,144,,,,office_email,cs@tn.gov.in,"Chief Secretary office, Tamil Nadu",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
50,144,,,,office_phone,+91-44-25671555,"Chief Secretary office, Tamil Nadu",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
51,147,,,,office_email,cs@telangana.gov.in,"Chief Secretary office, Telangana",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
52,147,,,,office_phone,+91-40-23452620,"Chief Secretary office, Telangana",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
53,150,,,,office_email,cs-tripura@nic.in,"Chief Secretary office, Tripura",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
54,150,,,,office_phone,+91-381-2413200,"Chief Secretary office, Tripura",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
55,153,,,,office_email,csuttaranchal@nic.in,"Chief Secretary office, Uttarakhand",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
56,153,,,,office_phone,+91-135-2712100,"Chief Secretary office, Uttarakhand",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
57,156,,,,office_email,csup@nic.in,"Chief Secretary office, Uttar Pradesh",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
58,156,,,,office_phone,+91-522-2289212,"Chief Secretary office, Uttar Pradesh",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
59,159,,,,office_email,cs-westbengal@nic.in,"Chief Secretary office, West Bengal",true,false,https://www.sarkaritel.com/chief-secretaries-of-states-union-territores/,0.75,2026-06-26
